ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,±â¿Â(¡ÆC)
105,°­¸ª,2025-11-12 01:00,6.3
105,°­¸ª,2025-11-12 02:00,7
105,°­¸ª,2025-11-12 03:00,7.1
105,°­¸ª,2025-11-12 04:00,7
105,°­¸ª,2025-11-12 05:00,7.2
105,°­¸ª,2025-11-12 06:00,7.2
105,°­¸ª,2025-11-12 07:00,7.6
105,°­¸ª,2025-11-12 08:00,8.4
105,°­¸ª,2025-11-12 09:00,12
105,°­¸ª,2025-11-12 10:00,14.7
105,°­¸ª,2025-11-12 11:00,16.7
105,°­¸ª,2025-11-12 12:00,17.8
105,°­¸ª,2025-11-12 13:00,18.3
105,°­¸ª,2025-11-12 14:00,18
105,°­¸ª,2025-11-12 15:00,17.7
105,°­¸ª,2025-11-12 16:00,17.3
105,°­¸ª,2025-11-12 17:00,15.8
105,°­¸ª,2025-11-12 18:00,12.7
105,°­¸ª,2025-11-12 19:00,12.2
105,°­¸ª,2025-11-12 20:00,12.3
105,°­¸ª,2025-11-12 21:00,13.3
105,°­¸ª,2025-11-12 22:00,13.2
105,°­¸ª,2025-11-12 23:00,13.8
105,°­¸ª,2025-11-13 00:00,13.6
